"Código Liquidação";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Liquidado (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"366003362102025NS114749";"366003362102025NE015629";"33903020";"MATERIAL DE CAMA, MESA E BANHO";"3012,50";"0,00";"0,00";"0,00"
"390084392522025NS001131";"390084392522024NE000012";"33903001";"COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS";"0,00";"0,00";"0,00";"0,00"
"390084392522025NS001131";"390084392522025NE000026";"33903919";"MANUTENCAO E CONSERV. DE VEICULOS";"78399,57";"0,00";"0,00";"0,00"
"390084392522025NS001131";"390084392522024NE000059";"33903001";"COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS";"0,00";"0,00";"0,00";"0,00"
"390084392522025NS001131";"390084392522025NE000025";"33903001";"COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS";"21797,61";"0,00";"0,00";"0,00"
"393001392502025NS009998";"393001392502025NE000272";"33903001";"COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS";"127266,16";"0,00";"0,00";"0,00"
"400066000012025NS000375";"400066000012025NE000011";"33903996";"OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO";"2000,00";"0,00";"0,00";"0,00"
"400066000012025NS000376";"400066000012025NE000012";"33903096";"MATERIAL DE CONSUMO - PAGTO ANTECIPADO";"2000,00";"0,00";"0,00";"0,00"
"443055442072025NS003532";"443055442072025NE000478";"33903702";"LIMPEZA E CONSERVACAO";"53997,70";"0,00";"0,00";"0,00"
"443055442072025NS003534";"443055442072025NE000478";"33903702";"LIMPEZA E CONSERVACAO";"29860,46";"0,00";"0,00";"0,00"
"510181572022025NS050099";"510181572022025NE700013";"33909104";"DEPOSITOS JUDICIAIS";"455,40";"0,00";"0,00";"0,00"
"510181572022025NS050112";"510181572022025NE700014";"33909104";"DEPOSITOS JUDICIAIS";"1518,00";"0,00";"0,00";"0,00"
"513181579042025NS062453";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"75,90";"0,00";"0,00";"0,00"
"513181579042025NS062454";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"455,40";"0,00";"0,00";"0,00"
"513181579042025NS062455";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"455,40";"0,00";"0,00";"0,00"
"513181579042025NS062457";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"455,40";"0,00";"0,00";"0,00"
"513181579042025NS062458";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"153,91";"0,00";"0,00";"0,00"
"513181579042025NS062459";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"1000,50";"0,00";"0,00";"0,00"
"513181579042025NS062460";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"195,87";"0,00";"0,00";"0,00"
"513181579042025NS062461";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"233,01";"0,00";"0,00";"0,00"
"513181579042025NS062462";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"996,10";"0,00";"0,00";"0,00"
"513181579042025NS062464";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"1683,14";"0,00";"0,00";"0,00"
"513181579042025NS062465";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"796,48";"0,00";"0,00";"0,00"
"513181579042025NS062473";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"211,30";"0,00";"0,00";"0,00"
"513181579042025NS062482";"513181579042025NE700001";"33909104";"DEPOSITOS JUDICIAIS";"455,40";"0,00";"0,00";"0,00"
