ano_orcamento,tipo_entidade,entidade,qtd_processos,valor_alimentar,valor_desapropriacao,valor_outras,valor_total,status_pagamento,data_publicacao_moc,codigo_comunicado,codigo_filefetch,fonte,fonte_url
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CATANDUVA,59,5517228.23,16311463.56,1815313.67,23644005.46,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CATIGUÁ,4,27107.07,0.00,220904.34,248011.41,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CERQUEIRA CÉSAR,6,547555.00,0.00,3374964.07,3922519.07,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CERQUILHO,1,106873.92,0.00,0.00,106873.92,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CESÁRIO LANGE,7,0.00,0.00,131688.39,131688.39,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CHAVANTES,15,547098.66,0.00,615418.72,1162517.38,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CLEMENTINA,2,9781.48,0.00,66140.26,75921.74,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE COLINA,1,78119.31,0.00,0.00,78119.31,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CONCHAL,6,51444.52,0.00,71990.64,123435.16,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CONCHAS,6,109023.03,0.00,94958.32,203981.35,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CORDEIRÓPOLIS,1,0.00,0.00,29057.54,29057.54,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE COROADOS,1,0.00,0.00,29319.70,29319.70,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CORONEL MACEDO,4,93423.64,0.00,98714.87,192138.51,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE COSMÓPOLIS,12,580595.83,0.00,670001.02,1250596.85,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE COSMORAMA,1,32530.42,0.00,0.00,32530.42,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
