UO_Cadastradora_Codigo,UO_Cadastradora_Nome,UO_Devedora_Codigo,UO_Devedora_Nome,Ano,Precatorio,Tipo_Causa,Valor_RS,conciliacao_status,conciliacao_tipo,cnj_processo_execucao,cnj_processo_originario,cnj_candidato,match_metodo,cnpj_entidade_devedora,causa_provavel,tribunal_cobertura,siop_chave,siop_tribunal,siop_data_ajuizamento,siop_data_autuacao,siop_tipo_despesa,siop_tributario,siop_natureza_despesa,siop_valor_original,siop_valor_atualizado,siop_fundef,siop_anos_decorridos,siop_class_tempo,siop_class_nfgc,siop_faixa_valor,siop_match_status
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1546952120254010000,FUNDO DE PARTICIPAÇÃO DOS MUNICÍPIOS - ENTIDADES,1725887,NAO_IDENTIFICADO,PENDENTE,,,0154695-21.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_0.8%
12102,TRF - 1a. Região,26232,UFBA,2026,7332027020244010000,Sistema Remuneratório e Benefícios - Servidor Público Civil - Administrativo,1724595,NAO_IDENTIFICADO,PENDENTE,,,0733202-70.2024.4.01.9198,,15180714000104,CNJ candidato nao encontrado na consulta publica TRF1 - possivel delay de sincronizacao,TRF1,,,,,,,,,,,,,,,SEM_MATCH_VALOR_11_cand
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,6571520320244010000,Anistia Política - Direitos e Garantias Fundamentais,1724025,NAO_IDENTIFICADO,PENDENTE,,,0657152-03.2024.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_0.7%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1625245320254010000,Incentivos fiscais - Crédito Tributário - Direito Tributário,1721956,NAO_IDENTIFICADO,PENDENTE,,,0162524-53.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_0.5%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1687377520254010000,FUNDEF/Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e,1721517,NAO_IDENTIFICADO,PENDENTE,,,0168737-75.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_0.5%
12102,TRF - 1a. Região,26232,UFBA,2026,7332018520244010000,Sistema Remuneratório e Benefícios - Servidor Público Civil - Administrativo,1721370,NAO_IDENTIFICADO,PENDENTE,,,0733201-85.2024.4.01.9198,,15180714000104,CNJ candidato nao encontrado na consulta publica TRF1 - possivel delay de sincronizacao,TRF1,,,,,,,,,,,,,,,SEM_MATCH_VALOR_11_cand
12102,TRF - 1a. Região,33904,F. Regime Geral Prev. Social,2026,1477155820254010000,Aposentadoria Especial (Art. 57/8) - Benefícios em Espécie - Direito Previdenciário,1721076,NAO_IDENTIFICADO,PENDENTE,,,0147715-58.2025.4.01.9198,,,Entidade nao mapeada para extracao TRF1,NAO_TESTADO,0877509,Tribunal Regional Federal da 3a. Região,"2004-02-16 00:00:00,000","2024-12-02 00:00:00,000",12,Não,33909100,1508855,1556419.7073735006,Não Fundef,20,20 anos ou mais,Previdência,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_7.3%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,5889065220244010000,PROMOÇÃO - REGIME - SERVIDOR PÚBLICO MILITAR - ADMINISTRATIVO,1720939,NAO_IDENTIFICADO,PENDENTE,,,0588906-52.2024.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_0.5%
11101,Superior Tribunal de Justiça,25101,M. da Fazenda,2025,12882,Administrativo - Militar - Pensão,1715525,NAO_IDENTIFICADO,PENDENTE,,,,,,Entidade nao mapeada para extracao TRF1,NAO_TESTADO,,,,,,,,,,,,,,,SEM_UO_NO_SIOP
12102,TRF - 1a. Região,39252,DNIT,2026,1288923620254010000,Juros de mora - legais/contratuais - Inadimplemento - Obrigações - Direito Civil e outras,1715358,IDENTIFICADO_PRC,PRC,0000517-32.2016.4.01.9198,0001648-37.2015.4.01.3100/AP,0128892-36.2025.4.01.9198,1_prc_entidade,04892707000100,,TRF1,,,,,,,,,,,,,,,SEM_MATCH_VALOR_33_cand
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,2809687920244010000,PIS - Contribuição Social - Contribuições - Direito Tributário,1713853,NAO_IDENTIFICADO,PENDENTE,,,0280968-79.2024.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_0.1%
12102,TRF - 1a. Região,33904,F. Regime Geral Prev. Social,2026,711159320254019000,Aposentadoria por Invalidez (Art.42/7) - Benefícios em Espécie - Direito Previdenciário,1710983,NAO_IDENTIFICADO,PENDENTE,,,0071115-93.2025.4.01.9198,,,Entidade nao mapeada para extracao TRF1,NAO_TESTADO,0877509,Tribunal Regional Federal da 3a. Região,"2004-02-16 00:00:00,000","2024-12-02 00:00:00,000",12,Não,33909100,1508855,1556419.7073735006,Não Fundef,20,20 anos ou mais,Previdência,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_6.8%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1543297920254010000,FUNDO DE PARTICIPAÇÃO DOS MUNICÍPIOS - ENTIDADES,1710468,NAO_IDENTIFICADO,PENDENTE,,,0154329-79.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_0.1%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1543289420254010000,FUNDO DE PARTICIPAÇÃO DOS MUNICÍPIOS - ENTIDADES,1710324,NAO_IDENTIFICADO,PENDENTE,,,0154328-94.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_0.1%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1547012820254010000,IPI/ Imposto sobre Produtos Industrializados - Impostos - Direito Tributário,1710137,NAO_IDENTIFICADO,PENDENTE,,,0154701-28.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_0.1%
12103,TRF - 2a. Região,33201,INSS,2026,50113838120254000000,Isonomia/ Equivalência Salarial,1706713,NAO_IDENTIFICADO,PENDENTE,,,5011383-81.2025.4.00.9198,,29979036000140,Formato 20 dig com tribunal 00 - provavel outro TRF (nao TRF1),TRF1,0806922,Tribunal Regional Federal da 1a. Região,"1993-07-26 00:00:00,000","2025-03-31 00:00:00,000",11,Não,31909100,1195211,1232888.4848905886,Não Fundef,31,20 anos ou mais,Pessoal,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_APROX_30.0%
